************* Module main
main.py:268: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:269: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:270: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:272: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:273: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:275: [C0301(line-too-long), ] Line too long (115/100)
main.py:275: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:276: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:277: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:278: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:279: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:280: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:281: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:282: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:284: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:285: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:286: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:287: [W0311(bad-indentation), ] Bad indentation. Found 3 spaces, expected 12
main.py:288: [W0311(bad-indentation), ] Bad indentation. Found 4 spaces, expected 16
main.py:289: [W0311(bad-indentation), ] Bad indentation. Found 3 spaces, expected 12
main.py:290: [W0311(bad-indentation), ] Bad indentation. Found 4 spaces, expected 16
main.py:291: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:292: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:293: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:294: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:295: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:297: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:298: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:299: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:301: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:302: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:303: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:305: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:306: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:307: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:309: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:310: [W0311(bad-indentation), ] Bad indentation. Found 3 spaces, expected 12
main.py:311: [W0311(bad-indentation), ] Bad indentation. Found 4 spaces, expected 16
main.py:313: [W0311(bad-indentation), ] Bad indentation. Found 3 spaces, expected 12
main.py:314: [W0311(bad-indentation), ] Bad indentation. Found 4 spaces, expected 16
main.py:315: [W0311(bad-indentation), ] Bad indentation. Found 4 spaces, expected 16
main.py:316: [W0311(bad-indentation), ] Bad indentation. Found 4 spaces, expected 16
main.py:317: [W0311(bad-indentation), ] Bad indentation. Found 4 spaces, expected 16
main.py:318: [W0311(bad-indentation), ] Bad indentation. Found 4 spaces, expected 16
main.py:320: [W0311(bad-indentation), ] Bad indentation. Found 3 spaces, expected 12
main.py:321: [W0311(bad-indentation), ] Bad indentation. Found 4 spaces, expected 16
main.py:322: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:323: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:323: [W0311(bad-indentation), ] Bad indentation. Found 4 spaces, expected 16
main.py:324: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:325: [W0311(bad-indentation), ] Bad indentation. Found 4 spaces, expected 16
main.py:326: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:327: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:327: [W0311(bad-indentation), ] Bad indentation. Found 4 spaces, expected 16
main.py:328: [W0311(bad-indentation), ] Bad indentation. Found 4 spaces, expected 16
main.py:329: [W0311(bad-indentation), ] Bad indentation. Found 4 spaces, expected 16
main.py:330: [W0311(bad-indentation), ] Bad indentation. Found 4 spaces, expected 16
main.py:331: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:332: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:332: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:333: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:334: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:336: [C0301(line-too-long), ] Line too long (137/100)
main.py:336: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:337: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:338: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:340: [C0301(line-too-long), ] Line too long (139/100)
main.py:340: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:341: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:342: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:344: [C0301(line-too-long), ] Line too long (142/100)
main.py:344: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:345: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
