************* Module cosmo
cosmo.py:178: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
cosmo.py:179: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
cosmo.py:180: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
cosmo.py:182: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
cosmo.py:183: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
cosmo.py:184: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
cosmo.py:186: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
cosmo.py:187: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
cosmo.py:188: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
cosmo.py:191: [C0303(trailing-whitespace), ] Trailing whitespace
cosmo.py:192: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
cosmo.py:199: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
cosmo.py:201: [C0303(trailing-whitespace), ] Trailing whitespace
cosmo.py:202: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
cosmo.py:203: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
cosmo.py:242: [C0301(line-too-long), ] Line too long (113/100)
cosmo.py:250: [C0303(trailing-whitespace), ] Trailing whitespace
cosmo.py:251: [C0303(trailing-whitespace), ] Trailing whitespace
cosmo.py:264: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
cosmo.py:265: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
cosmo.py:266: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
cosmo.py:267: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
cosmo.py:268: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
cosmo.py:269: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
cosmo.py:270: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
cosmo.py:271: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
cosmo.py:273: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
cosmo.py:277: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
cosmo.py:278: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
cosmo.py:279: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
cosmo.py:281: [C0303(trailing-whitespace), ] Trailing whitespace
cosmo.py:281: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
cosmo.py:282: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
cosmo.py:283: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
cosmo.py:284: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
cosmo.py:285: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
cosmo.py:287: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
cosmo.py:288: [C0303(trailing-whitespace), ] Trailing whitespace
cosmo.py:292: [C0305(trailing-newlines), ] Trailing newlines
cosmo.py:1: [C0114(missing-module-docstring), ] Missing module docstring
cosmo.py:2: [W0401(wildcard-import), ] Wildcard import tkinter
cosmo.py:4: [W0401(wildcard-import), ] Wildcard import config_tk
cosmo.py:7: [C0410(multiple-imports), ] Multiple imports on one line (sys, os, re, threading, json)
cosmo.py:9: [E0401(import-error), ] Unable to import 'PIL'
cosmo.py:19: [W1514(unspecified-encoding), ] Using open without explicitly specifying an encoding
cosmo.py:22: [C0103(invalid-name), regular_ex] Argument name "e" doesn't conform to snake_case naming style
cosmo.py:45: [W0702(bare-except), regular_ex] No exception type(s) specified
cosmo.py:22: [W0613(unused-argument), regular_ex] Unused argument 'e'
cosmo.py:25: [W0612(unused-variable), regular_ex] Unused variable 'file_n'
cosmo.py:48: [W0613(unused-argument), delete] Unused argument 'event'
cosmo.py:52: [C0103(invalid-name), Open] Function name "Open" doesn't conform to snake_case naming style
cosmo.py:52: [C0103(invalid-name), Open] Argument name "e" doesn't conform to snake_case naming style
cosmo.py:64: [W0621(redefined-outer-name), Open] Redefining name 'f' from outer scope (line 264)
cosmo.py:65: [W0621(redefined-outer-name), Open] Redefining name 'data' from outer scope (line 20)
cosmo.py:54: [C0103(invalid-name), Open] Constant name "f_name" doesn't conform to UPPER_CASE naming style
cosmo.py:54: [W0601(global-variable-undefined), Open] Global variable 'f_name' undefined at the module level
cosmo.py:72: [W0702(bare-except), Open] No exception type(s) specified
cosmo.py:63: [C0209(consider-using-f-string), Open] Formatting a regular string which could be a f-string
cosmo.py:64: [C0103(invalid-name), Open] Variable name "f" doesn't conform to snake_case naming style
cosmo.py:68: [C0103(invalid-name), Open] Variable name "f2" doesn't conform to snake_case naming style
cosmo.py:70: [C0209(consider-using-f-string), Open] Formatting a regular string which could be a f-string
cosmo.py:52: [W0613(unused-argument), Open] Unused argument 'e'
cosmo.py:69: [W0612(unused-variable), Open] Unused variable 'line'
cosmo.py:80: [W0621(redefined-outer-name), save] Redefining name 'data' from outer scope (line 20)
cosmo.py:77: [C0103(invalid-name), save] Constant name "f_name" doesn't conform to UPPER_CASE naming style
cosmo.py:77: [W0601(global-variable-undefined), save] Global variable 'f_name' undefined at the module level
cosmo.py:83: [W0702(bare-except), save] No exception type(s) specified
cosmo.py:86: [C0103(invalid-name), save_e] Argument name "e" doesn't conform to snake_case naming style
cosmo.py:89: [W0621(redefined-outer-name), save_e] Redefining name 'data' from outer scope (line 20)
cosmo.py:92: [W0702(bare-except), save_e] No exception type(s) specified
cosmo.py:86: [W0613(unused-argument), save_e] Unused argument 'e'
cosmo.py:95: [C0116(missing-function-docstring), new_file] Missing function or method docstring
cosmo.py:95: [C0103(invalid-name), new_file] Argument name "e" doesn't conform to snake_case naming style
cosmo.py:99: [W0621(redefined-outer-name), new_file] Redefining name 'f' from outer scope (line 264)
cosmo.py:96: [C0103(invalid-name), new_file] Constant name "f_name" doesn't conform to UPPER_CASE naming style
cosmo.py:96: [W0601(global-variable-undefined), new_file] Global variable 'f_name' undefined at the module level
cosmo.py:103: [W0702(bare-except), new_file] No exception type(s) specified
cosmo.py:99: [C0103(invalid-name), new_file] Variable name "f" doesn't conform to snake_case naming style
cosmo.py:95: [W0613(unused-argument), new_file] Unused argument 'e'
cosmo.py:105: [C0116(missing-function-docstring), run] Missing function or method docstring
cosmo.py:106: [C0103(invalid-name), run] Constant name "show" doesn't conform to UPPER_CASE naming style
cosmo.py:106: [W0601(global-variable-undefined), run] Global variable 'show' undefined at the module level
cosmo.py:107: [W0105(pointless-string-statement), run] String statement has no effect
cosmo.py:115: [W0718(broad-exception-caught), run] Catching too general exception Exception
cosmo.py:113: [C0209(consider-using-f-string), run] Formatting a regular string which could be a f-string
cosmo.py:115: [C0103(invalid-name), run] Variable name "e" doesn't conform to snake_case naming style
cosmo.py:105: [W0613(unused-argument), run] Unused argument 'event'
cosmo.py:120: [C0116(missing-function-docstring), run_html] Missing function or method docstring
cosmo.py:124: [C0209(consider-using-f-string), run_html] Formatting a regular string which could be a f-string
cosmo.py:126: [C0116(missing-function-docstring), run_js] Missing function or method docstring
cosmo.py:126: [C0103(invalid-name), run_js] Argument name "e" doesn't conform to snake_case naming style
cosmo.py:130: [W0621(redefined-outer-name), run_js] Redefining name 'show' from outer scope (line 109)
cosmo.py:134: [W0718(broad-exception-caught), run_js] Catching too general exception Exception
cosmo.py:129: [C0209(consider-using-f-string), run_js] Formatting a regular string which could be a f-string
cosmo.py:134: [R1704(redefined-argument-from-local), run_js] Redefining argument with the local name 'e'
cosmo.py:137: [C0116(missing-function-docstring), bright] Missing function or method docstring
cosmo.py:151: [W0621(redefined-outer-name), bright] Redefining name 'f' from outer scope (line 264)
cosmo.py:141: [W0702(bare-except), bright] No exception type(s) specified
